scenario,batch_cap,method,rho,seed,P99_us,P999_us,slo_violation_rate,migration_rate,invalid_migration_ratio,total_finished,total_generated
W2_burst_homo,1,M1_AQB_PM,0.85,11,2.6e+03,3.45e+03,0.638077,0.0473175,0.116332,1000000,1202282
W2_burst_homo,1,M1_AQB_PM,0.85,23,1.44e+03,2.03e+03,0.52372,0.0457403,0.128585,1000000,1202069
W2_burst_homo,1,M1_AQB_PM,0.85,37,2.59e+03,3.43e+03,0.41675,0.0366218,0.0962852,1000000,1219466
W2_burst_homo,1,M1_AQB_PM,0.85,47,202,208,0.137606,0.0454061,0.0939665,1000000,1201644
W2_burst_homo,1,M1_AQB_PM,0.85,59,1.13e+03,1.71e+03,0.419177,0.0453819,0.085326,1000000,1201625
W2_burst_homo,2,M1_AQB_PM,0.85,11,2.46e+03,3.28e+03,0.776533,0.023637,0.117457,1000000,1219232
W2_burst_homo,2,M1_AQB_PM,0.85,23,918,1.64e+03,0.264689,0.0454109,0.090486,1000000,1201739
W2_burst_homo,2,M1_AQB_PM,0.85,37,1.93e+03,2.72e+03,0.438782,0.0403745,0.102848,1000000,1214232
W2_burst_homo,2,M1_AQB_PM,0.85,47,1.27e+03,1.82e+03,0.346474,0.0450411,0.096405,1000000,1210450
W2_burst_homo,2,M1_AQB_PM,0.85,59,2.6e+03,3.31e+03,0.88926,0.0445258,0.197076,1000000,1221089
W2_burst_homo,4,M1_AQB_PM,0.85,11,586,970,0.332428,0.048848,0.117799,1000000,1217183
W2_burst_homo,4,M1_AQB_PM,0.85,23,724,1.08e+03,0.385527,0.0473124,0.100943,1000000,1201460
W2_burst_homo,4,M1_AQB_PM,0.85,37,1.47e+03,2.24e+03,0.360187,0.0453816,0.0987731,1000000,1201567
W2_burst_homo,4,M1_AQB_PM,0.85,47,2.86e+03,3.75e+03,0.592416,0.0427597,0.142962,1000000,1211514
W2_burst_homo,4,M1_AQB_PM,0.85,59,1.1e+03,1.73e+03,0.478631,0.0453613,0.0788354,1000000,1201597
W2_burst_homo,8,M1_AQB_PM,0.85,11,1.06e+03,1.52e+03,0.617896,0.0470609,0.130856,1000000,1202783
W2_burst_homo,8,M1_AQB_PM,0.85,23,2.5e+03,3.16e+03,0.278001,0.0450254,0.0853782,1000000,1249939
W2_burst_homo,8,M1_AQB_PM,0.85,37,322,776,0.190414,0.0453145,0.093824,1000000,1201669
W2_burst_homo,8,M1_AQB_PM,0.85,47,344,902,0.195558,0.0453612,0.0870035,1000000,1204841
W2_burst_homo,8,M1_AQB_PM,0.85,59,2.01e+03,2.78e+03,0.560951,0.0452034,0.130219,1000000,1206523
