"scenario","workload","rho","method","P99_us","P999_us","slo_violation_rate","intra_move_rate","intra_move_count","intra_moved_work_us","invalid_intra_move_ratio"
"intra_w1_bimodal_sanity","W1","0.85","L0_RandomCore","2480","3480","0.857604","0","0","0","0"
"intra_w1_bimodal_sanity","W1","0.85","L1_WorkStealing","240","366","0.332489","0.331218","397482","13576300","0"
"intra_w1_bimodal_sanity","W1","0.85","M0_IntraHostProactive","204","286","0.258119","0.538491","646229","14285600","0"
"intra_w1_high_load","W1","0.95","L0_RandomCore","10000","10000","1","0","0","0","0"
"intra_w1_high_load","W1","0.95","L1_WorkStealing","10000","10000","1","0","0","0","0"
"intra_w1_high_load","W1","0.95","M0_IntraHostProactive","10000","10000","1","0","0","0","0"
"intra_w3_heavytail","W3","0.5","L0_RandomCore","388","704","0.232146","0","0","0","0"
"intra_w3_heavytail","W3","0.5","L1_WorkStealing","152","322","0.012427","0.339738","407691","11160100","0"
"intra_w3_heavytail","W3","0.5","M0_IntraHostProactive","158","320","0.004558","0.175575","210691","4574420","0"
"intra_w3_heavytail","W3","0.7","L0_RandomCore","704","1130","0.452664","0","0","0","0"
"intra_w3_heavytail","W3","0.7","L1_WorkStealing","156","322","0.042602","0.416029","499243","14430200","0"
"intra_w3_heavytail","W3","0.7","M0_IntraHostProactive","158","322","0.008748","0.271988","326388","6998180","0"
"intra_w3_heavytail","W3","0.85","L0_RandomCore","2050","3260","0.761112","0","0","0","0"
"intra_w3_heavytail","W3","0.85","L1_WorkStealing","220","364","0.20307","0.328258","393913","12520900","0"
"intra_w3_heavytail","W3","0.85","M0_IntraHostProactive","194","348","0.153335","0.399925","479917","10274200","0"
"intra_w3_heavytail","W3","0.92","L0_RandomCore","10000","10000","0.986228","0","0","0","0"
"intra_w3_heavytail","W3","0.92","L1_WorkStealing","4670","7200","0.891699","0.0325158","39078","1303080","0"
"intra_w3_heavytail","W3","0.92","M0_IntraHostProactive","4300","6810","0.935923","0.331843","398739","10359200","0"
